"Reference","Value","Footprint","Qty"
"C1","EC4","Capacitor_THT:C_Radial_D4.0mm_H7.0mm_P1.50mm","1"
"C2","2a222j","Capacitor_THT:C_Rect_L4.6mm_W3.0mm_P2.50mm_MKS02_FKP02","1"
"C3","EC1","Capacitor_THT:C_Radial_D4.0mm_H5.0mm_P1.50mm","1"
"Cec1","EC2","Capacitor_THT:C_Radial_D4.0mm_H5.0mm_P1.50mm","1"
"D1","D","Diode_THT:D_A-405_P7.62mm_Horizontal","1"
"D2","D","Diode_THT:D_A-405_P7.62mm_Horizontal","1"
"D3","D","Diode_THT:D_A-405_P7.62mm_Horizontal","1"
"D4","D","Diode_THT:D_A-405_P7.62mm_Horizontal","1"
"D5","D2","Diode_THT:D_A-405_P7.62mm_Horizontal","1"
"D6","ZD4","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1"
"D7","D1","Diode_THT:D_A-405_P7.62mm_Horizontal","1"
"Dzd1","zd3","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1"
"Q1","Q2","Package_TO_SOT_THT:TO-126-3_Vertical","1"
"Q2","Q1","Package_TO_SOT_THT:TO-92S","1"
"R1","R4","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1"
"R2","R6","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1"
"R3","R5","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1"
"R4","R2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1"
"R5","R3","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1"
"R6","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1"
"T1","Transformer_1P_2S","EE10TRANSFO6PIN:EE10 Voltage Transformer","1"
