Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2a222j","C_Rect_L4.6mm_W3.0mm_P2.50mm_MKS02_FKP02",154.900000,-106.680000,90.000000,top
"D1","D1","D_A-405_P7.62mm_Horizontal",167.620000,-113.920000,-90.000000,top
"D1","D","D_A-405_P7.62mm_Horizontal",128.280000,-108.360000,90.000000,top
"D2","D","D_A-405_P7.62mm_Horizontal",128.250000,-121.970000,90.000000,top
"D2","D2","D_A-405_P7.62mm_Horizontal",151.090000,-103.400000,-90.000000,top
"D3","zd3","D_DO-35_SOD27_P7.62mm_Horizontal",137.550000,-103.000000,0.000000,top
"D3","D","D_A-405_P7.62mm_Horizontal",132.070000,-108.370000,90.000000,top
"D4","D","D_A-405_P7.62mm_Horizontal",131.960000,-121.950000,90.000000,top
"EC1","EC1","C_Radial_D4.0mm_H5.0mm_P1.50mm",162.080000,-104.350000,180.000000,top
"EC2","EC2","C_Radial_D4.0mm_H5.0mm_P1.50mm",146.950000,-107.000000,180.000000,top
"EC5","EC4","C_Radial_D4.0mm_H7.0mm_P1.50mm",139.300000,-113.590000,90.000000,top
"Q1","Q1","TO-92S",140.340000,-106.230000,0.000000,top
"Q2","Q2","TO-126-3_Vertical",136.900000,-118.245000,0.000000,top
"R1","R","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",167.810000,-109.090000,90.000000,top
"R2","R2","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",147.300000,-100.430000,0.000000,top
"R3","R3","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",144.850000,-118.150000,90.000000,top
"R4","R4","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",137.450000,-100.350000,0.000000,top
"R5","R5","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",147.940000,-121.280000,90.000000,top
"R6","R6","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",136.160000,-121.900000,0.000000,top
"T1","Transformer_1P_2S","EE10 Voltage Transformer",163.690000,-110.060000,-90.000000,top
"ZD4","ZD4","D_DO-35_SOD27_P7.62mm_Horizontal",151.130000,-121.320000,90.000000,top
